2,5,10
121327.60430668778,122145.31673058306,120885.97346051154
126060.30797479319,121140.99608129199,125869.34097955504
120600.5167651181,119207.03953287921,119524.55572500653
131582.5142368828,117158.16634320481,117455.61247844373
115845.64263330781,123706.67175315884,119216.01486643171
119295.8617895615,118474.66032509867,118780.78374685634
127662.10811440674,121454.16851403409,124321.95280833854
128939.4421570164,118256.77354687419,119101.97814224141
130924.8915054978,120265.45167147352,119035.87677185434
118076.66057083273,115726.3053856645,118582.91503987172
127953.80688678089,121740.07585692366,123475.56033627049
120301.5261449684,120648.5951922412,119455.36138515378
124537.58195472027,119508.5513869292,115584.25522673491
127532.51732583757,121830.89830915778,115338.93853977545
127681.23860663263,119943.36432425136,119697.86753444547
120089.43881497803,122158.55615085331,122243.45428819819
119258.6341931335,123095.6957817944,118456.39360608907
119235.23298738978,114678.19805259579,119901.83282889762
132973.99920123135,122574.07108800464,119540.11081435217
121641.97782084244,125382.94597207208,117482.51807778994
135587.79670861142,128191.63555500245,116257.65758007191
133302.14215882952,124199.07684002141,117037.5619348311
127823.50849933318,122802.86218691261,118890.78555359584
122126.68026743177,119375.98802521959,118771.40188764967
125012.20434084971,122688.43671921281,118154.6412423299
115766.54073614768,121468.59667875829,114454.04657154989
114024.74675929901,120623.72401070218,119227.46012057921
113154.53204636906,120297.5058962527,117978.41672233553
129754.52118041867,119498.39582786028,117588.82259593728
127606.75865765353,115580.00913941946,116054.65027874649
